data_document_id,data_document_filename,doc_date,raw_category,raw_cas,raw_chem_name,cat_code,description_cpcat,cpcat_code,cpcat_sourcetype
1373305,2005 Corn.pdf,May 2006,,,Tefluthrin,,,,ACToR Assays and Lists
1373305,2005 Corn.pdf,May 2006,,,Terbufos,,,,ACToR Assays and Lists
1373305,2005 Corn.pdf,May 2006,,,Zeta-cypermethrin,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Nitrogen,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Phosphate,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Potash,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Sulfur,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,"2,4-D, 2-EHE",,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,"2,4-D, dimeth. salt",,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Clethodim,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Dimethenamid-P,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,EPTC,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Glufosinate-ammonium,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Glyphosate iso. salt,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Linuron,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Metolachlor,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Metribuzin,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Pendimethalin,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Rimsulfuron,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,S-Metolachlor,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Sethoxydim,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Trifluralin,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Aldicarb,,,,ACToR Assays and Lists
