ExtractedComposition_id,lower_wf_analysis,central_wf_analysis,upper_wf_analysis
5623617,,3.04e-05,
5612581,,1e-07,
5590509,,0.0001284,
5645689,,0.0003302,
5634653,,0.0001707,
5607252,,1.33e-05,
5662432,,1e-07,
5618288,,1.6e-06,
5596216,,8.15e-05,
5651396,,6e-07,
5640360,,6e-07,
5629424,,9.7e-06,
5586843,,0.0003151,
5601456,,3.1e-06,
5656636,,2.5e-05,
5623528,,7e-07,
5612492,,2.36e-05,
5590420,,2e-07,
5645600,,2.16e-05,
5634564,,3e-07,
5607163,,8.6e-06,
5662343,,7.36e-05,
5618199,,2.28e-05,
5596127,,0.0002721,
5651307,,1.7e-06,
5640271,,2e-07,
5629335,,8.32e-05,
5586754,,0.000263,
5587010,,0.0002762,
5601367,,0.0002069,
5656547,,4.1e-06,
5623439,,2.2e-06,
5612403,,1.34e-05,
5590331,,5e-07,
5645511,,9.9e-06,
5634475,,4e-07,
5607074,,5e-07,
5662254,,0.0002388,
5618110,,5e-07,
5596038,,9.6e-06,
5651218,,7e-07,
5640182,,7e-07,
5629246,,0.0003606,
5601623,,0.0,
5656803,,8e-07,
5623695,,0.0002296,
5612659,,6.85e-05,
5590587,,5e-07,
5645767,,0.0005524,
5634731,,2.4e-06,
5607330,,1.5e-06,
5662510,,4.7e-06,
5618366,,0.0,
5596294,,7e-06,
5651474,,4e-06,
5640438,,0.0028233,
5586921,,0.0013496,
5629157,,3.93e-05,
5601534,,1.74e-05,
5656714,,1.22e-05,
5623606,,0.0005779,
5612570,,7e-07,
5590498,,0.1059894,
5645678,,4.38e-05,
5634642,,4.3e-06,
5607241,,0.0002671,
5662421,,4.09e-05,
5618277,,3.42e-05,
5596205,,0.2091292,
5651385,,8.5e-06,
5640349,,1.34e-05,
5629413,,5.82e-05,
5586832,,1.05e-05,
5601445,,2.84e-05,
5656625,,0.0,
5623517,,1.46e-05,
5612481,,0.0002686,
5590409,,9e-07,
5645589,,0.0,
5634553,,5.7e-05,
5607152,,0.0006387,
5662332,,5e-07,
5618188,,0.0002929,
5596116,,3.4e-06,
5651296,,1.16e-05,
5640260,,7.8e-06,
5629324,,3e-07,
5586743,,7.13e-05,
5586999,,4.53e-05,
5601356,,6e-07,
5656536,,6e-07,
5623428,,0.000119,
5612392,,6.69e-05,
5590320,,5.4e-06,
5645500,,5.95e-05,
5634464,,0.0001988,
5607063,,9.1e-06,
5662243,,3e-07,
5618099,,3.2e-05,
5596027,,0.0001152,
5651207,,2.73e-05,
5640171,,3.41e-05,
5629235,,0.088274,
5601612,,3e-07,
5656792,,0.0001216,
5623684,,1e-07,
5612648,,0.002935,
5590576,,8.24e-05,
5645756,,0.9414918,
5634720,,2.03e-05,
5607319,,2.09e-05,
5662499,,2.14e-05,
5618355,,2e-07,
5596283,,6.69e-05,
5651463,,0.0001497,
5640427,,3.2e-05,
5586910,,8.91e-05,
5629146,,0.8726886,
5601523,,4e-07,
5656703,,3.81e-05,
5623595,,4e-07,
5612559,,2.37e-05,
5590487,,3e-07,
5645667,,1e-07,
5634631,,0.0003881,
5607230,,1e-07,
5662410,,2e-07,
5618266,,0.0,
5596194,,4.46e-05,
5651374,,0.0003375,
5640338,,0.0009823,
5629402,,1e-07,
5586821,,0.000308,
5587077,,0.0003205,
5601434,,0.0005297,
5656614,,1e-07,
5623506,,0.0002273,
5612470,,3e-07,
5590398,,0.0001786,
5645578,,1.8e-06,
5634542,,2.51e-05,
5607141,,2.99e-05,
5662321,,4.7e-05,
5618177,,5.87e-05,
5596105,,0.0001781,
5651285,,0.0003653,
5640249,,2e-07,
5629313,,4.8e-06,
5586732,,1.5e-06,
5586988,,2.4e-06,
5601345,,2.76e-05,
5656525,,1.81e-05,
5623417,,2.3e-06,
5612381,,0.0003437,
5590309,,8.44e-05,
5645489,,0.0004896,
5634453,,2.53e-05,
5607052,,0.0009106,
5662232,,2.01e-05,
5618088,,0.0002684,
5596016,,1.66e-05,
5651196,,0.2113509,
5640160,,2e-07,
5629224,,5e-07,
5601601,,1.62e-05,
5656781,,0.0,
5623673,,7e-07,
5612637,,2.7e-06,
5590565,,2e-07,
5645745,,0.038742,
5634709,,0.0,
5607308,,1e-07,
5662488,,0.0001724,
5618344,,2.2e-06,
5596272,,0.001556,
5651452,,8e-07,
5640416,,2e-06,
5586899,,2.5e-06,
5629135,,9.3e-06,
5601512,,4.15e-05,
5656692,,2e-07,
5623584,,2.7e-06,
5612548,,0.0003953,
5590476,,9.9e-06,
5645656,,1.5e-06,
5634620,,0.0001143,
5607219,,9e-07,
5662399,,3.82e-05,
5618255,,3e-07,
5596183,,1.08e-05,
5651363,,2.3e-06,
5640327,,4e-07,
5629391,,3.7e-06,
5586810,,1.01e-05,
5587066,,5.5e-05,
5601423,,4e-07,
5656603,,2.6e-06,
5623495,,1e-07,
5612459,,3e-06,
5590387,,1e-07,
5645567,,7.8e-06,
5634531,,1.05e-05,
5607130,,0.0003695,
5662310,,0.0,
5618166,,1e-07,
5596094,,0.5379557,
5651274,,1.4e-06,
5640238,,8.8e-06,
5629302,,2.28e-05,
5586977,,0.2485034,
5601334,,0.000577,
5656514,,1.8e-06,
5623406,,1.2e-06,
5612370,,2e-07,
5590298,,0.0004052,
5645478,,0.0001576,
5634442,,6e-07,
5607041,,1.1e-06,
5662221,,0.1702303,
5618077,,8e-07,
5596005,,0.0018172,
5651185,,1.5e-06,
