ExtractedChemical_id,lower_wf_analysis,central_wf_analysis,upper_wf_analysis
1441935,0.05,,0.1
1441905,0.1,,0.15
1441904,0.01,,0.05
1441900,0.01,,0.05
1441896,0.25,,0.3
1441893,0.01,,0.05
1441892,0.01,,0.05
1441888,0.05,,0.1
1441886,0.4,,1.0
1441877,0.3,,0.35
1441875,0.01,,0.05
1441872,0.01,,0.05
1441869,0.01,,0.05
1441867,0.05,,0.1
1441863,0.25,,0.3
1441859,0.1,,0.15
1441856,0.01,,0.05
1441849,0.2,,0.25
1441825,0.15,,0.2
1441823,0.01,,0.05
1441822,0.01,,0.05
1441817,0.25,,0.3
1441816,0.2,,0.25
1441811,0.2,,0.25
1441806,0.05,,0.1
1441803,0.005,,0.015
1441800,0.05,,0.1
1441782,0.1,,0.15
1441781,0.1,,0.15
1441776,0.25,,0.3
1441770,0.4,,1.0
1441760,0.01,,0.05
1441756,0.05,,0.1
1441753,0.4,,1.0
1441752,0.005,,0.015
1441748,0.01,,0.05
1441729,0.1,,0.15
1441726,0.25,,0.3
1441717,0.005,,0.015
1441715,0.01,,0.05
1441711,0.05,,0.1
1441706,0.4,,1.0
1441691,0.005,,0.015
1441689,0.01,,0.05
1441683,0.01,,0.05
1441682,0.01,,0.05
1441680,0.01,,0.05
1441678,0.05,,0.1
1441674,0.4,,1.0
1441668,0.05,,0.1
1441665,0.01,,0.05
1441653,0.2,,0.25
1441644,0.3,,0.35
1441637,0.2,,0.25
1441636,0.01,,0.05
1441632,0.05,,0.1
1441631,0.01,,0.05
1441627,0.05,,0.1
1441624,0.05,,0.1
1441622,0.01,,0.05
1441609,0.05,,0.1
1441594,0.05,,0.1
1441593,0.01,,0.05
1441588,0.05,,0.1
1441578,0.1,,0.15
1441572,0.005,,0.015
1441570,0.01,,0.05
1441564,0.05,,0.1
1441558,0.05,,0.1
1441557,0.01,,0.05
1441555,0.01,,0.05
1441551,0.05,,0.1
1441544,0.1,,0.15
1441533,0.05,,0.1
1441525,0.3,,0.35
1441519,0.05,,0.1
1441508,0.05,,0.1
1441504,0.005,,0.015
1441503,0.01,,0.05
1441501,0.01,,0.05
1441497,0.05,,0.1
1441494,0.01,,0.05
1441486,0.05,,0.1
1441483,0.01,,0.05
1441477,0.4,,1.0
1441472,0.05,,0.1
1441467,0.05,,0.1
1441464,0.05,,0.1
1441462,0.4,,1.0
1441461,0.01,,0.05
1441450,0.01,,0.05
1441448,0.4,,1.0
1441444,0.25,,0.3
1441434,0.05,,0.1
1441427,0.05,,0.1
1441424,0.01,,0.05
1441422,0.01,,0.05
1441419,0.05,,0.1
1441411,0.05,,0.1
1441407,0.05,,0.1
1441400,0.01,,0.05
1441399,0.01,,0.05
1441390,0.01,,0.05
1441384,0.2,,0.25
1441376,0.01,,0.05
1441362,0.05,,0.1
1441341,0.1,,0.15
1441334,0.2,,0.25
1441325,0.01,,0.05
1441322,0.01,,0.05
1441319,0.05,,0.1
1441317,0.01,,0.05
1441313,0.05,,0.1
1441311,0.01,,0.05
1441307,0.1,,0.15
1441305,0.01,,0.05
1441303,0.01,,0.05
1441302,0.01,,0.05
1441298,0.001,,0.01
1441296,0.01,,0.05
1441281,0.05,,0.1
1441267,0.05,,0.1
1441257,0.05,,0.1
1441254,0.01,,0.05
1441251,0.01,,0.05
1441249,0.3,,0.35
1441246,0.01,,0.05
1441240,0.2,,0.25
1441228,0.35,,0.4
1441218,0.2,,0.25
1441216,0.005,,0.015
1441214,0.01,,0.05
1441199,0.05,,0.1
1441186,0.05,,0.1
1441174,0.05,,0.1
1441159,0.05,,0.1
1441152,0.01,,0.05
1441141,0.05,,0.1
1441129,0.05,,0.1
1441125,0.15,,0.2
1441124,0.01,,0.05
1441114,0.005,,0.015
1441108,0.01,,0.05
1441096,0.05,,0.1
1441095,0.01,,0.05
1441083,0.35,,0.4
1441082,0.005,,0.015
1441080,0.01,,0.05
1441066,0.1,,0.15
1441064,0.05,,0.1
1441063,0.01,,0.05
1441049,0.05,,0.1
1441046,0.05,,0.1
1441038,0.05,,0.1
1441037,0.01,,0.05
1441035,0.001,,0.01
1441031,0.05,,0.1
1441029,0.01,,0.05
1441017,0.05,,0.1
1441002,0.05,,0.1
1440999,0.01,,0.05
1440997,0.01,,0.05
1440992,0.05,,0.1
1440979,0.1,,0.15
1440962,0.1,,0.15
1440958,0.05,,0.1
1440955,0.1,,0.15
1440949,0.05,,0.1
1440936,0.05,,0.1
1440924,0.05,,0.1
1440910,0.05,,0.1
1440897,0.05,,0.1
1440885,0.05,,0.1
1440876,0.3,,0.35
1440861,0.05,,0.1
1440857,0.1,,0.15
1440844,0.05,,0.1
1440830,0.1,,0.15
1440829,0.001,,0.01
1440828,0.001,,0.01
1440826,0.05,,0.1
1440824,0.01,,0.05
1440815,0.25,,0.3
1440803,0.05,,0.1
1440799,0.05,,0.1
1440797,0.005,,0.015
1440784,0.1,,0.15
1440773,0.05,,0.1
1440769,0.1,,0.15
1440756,0.05,,0.1
1440750,0.05,,0.1
1440740,0.05,,0.1
1440727,0.05,,0.1
1440715,0.1,,0.15
1440714,0.01,,0.05
1440713,0.01,,0.05
1440705,0.01,,0.05
1446681,0.01,,0.05
1446677,0.001,,0.01
1446668,0.001,,0.01
1446665,0.05,,0.1
1446662,0.05,,0.1
1446637,0.01,,0.05
1446635,0.01,,0.05
1446626,0.1,,0.15
1446604,0.05,,0.1
1446601,0.05,,0.1
1446599,0.01,,0.05
1446595,0.2,,0.25
1446593,0.01,,0.05
1446587,0.01,,0.05
1446585,0.001,,0.01
1446572,0.15,,0.2
1446563,0.01,,0.05
1446560,0.01,,0.05
1446557,0.05,,0.1
1446553,0.01,,0.05
1446549,0.01,,0.05
1446544,0.05,,0.1
1446540,0.2,,0.25
1446536,0.01,,0.05
1446532,0.05,,0.1
1446529,0.001,,0.01
1446524,0.01,,0.05
1446500,0.01,,0.05
1446493,0.15,,0.2
1446488,0.01,,0.05
1446486,0.001,,0.01
1446474,0.15,,0.2
1446466,0.005,,0.015
1446463,0.05,,0.1
1446461,0.01,,0.05
1446459,0.01,,0.05
1446457,0.01,,0.05
1446455,0.01,,0.05
1446447,0.01,,0.05
1446443,0.05,,0.1
1446437,0.01,,0.05
1446433,0.001,,0.01
1446425,0.01,,0.05
1446423,0.001,,0.01
1446395,0.01,,0.05
1446391,0.005,,0.015
1446383,0.05,,0.1
1446379,0.01,,0.05
1446376,0.01,,0.05
1446370,0.005,,0.015
1446368,0.001,,0.01
1446360,0.01,,0.05
1446356,0.05,,0.1
1446352,0.01,,0.05
1446345,0.05,,0.1
1446342,0.01,,0.05
1446339,0.05,,0.1
1446336,0.01,,0.05
1446333,0.05,,0.1
1446328,0.05,,0.1
1446315,0.01,,0.05
1446312,0.001,,0.01
1446306,0.01,,0.05
1446300,0.01,,0.05
1446295,0.01,,0.05
1446286,0.1,,0.15
1446284,0.01,,0.05
1446282,0.001,,0.01
1446277,0.05,,0.1
1446269,0.01,,0.05
1446264,0.01,,0.05
1446260,0.05,,0.1
1446256,0.01,,0.05
1446254,0.001,,0.01
1446246,0.05,,0.1
1446233,0.05,,0.1
1446229,0.01,,0.05
1446226,0.05,,0.1
1446223,0.05,,0.1
1446203,0.01,,0.05
1446196,0.01,,0.05
1446192,0.001,,0.01
1446190,0.001,,0.01
1446187,0.05,,0.1
1446179,0.05,,0.1
1446164,0.01,,0.05
1446155,0.005,,0.015
1446148,0.05,,0.1
1446139,0.1,,0.15
1446135,0.35,,0.4
1446133,0.01,,0.05
1446131,0.25,,0.3
1446122,0.05,,0.1
1446116,0.01,,0.05
1446111,0.01,,0.05
1446107,0.05,,0.1
1446105,0.01,,0.05
1446098,0.001,,0.01
1446094,0.05,,0.1
1446090,0.01,,0.05
1446088,0.01,,0.05
1446086,0.01,,0.05
1446080,0.005,,0.015
1446071,0.005,,0.015
1446069,0.01,,0.05
1446067,0.001,,0.01
1446054,0.001,,0.01
1446052,0.01,,0.05
1446049,0.05,,0.1
1446046,0.01,,0.05
1446039,0.01,,0.05
1446035,0.01,,0.05
1446027,0.05,,0.1
1446025,0.005,,0.015
1446021,0.05,,0.1
1446017,0.01,,0.05
1446013,0.05,,0.1
1446011,0.01,,0.05
1446005,0.001,,0.01
1445989,0.05,,0.1
1445985,0.001,,0.01
1445983,0.01,,0.05
1445975,0.01,,0.05
1445972,0.01,,0.05
1445958,0.2,,0.25
1445956,0.01,,0.05
1445950,0.05,,0.1
1445948,0.01,,0.05
1445946,0.01,,0.05
1445940,0.01,,0.05
1445933,0.001,,0.01
1445926,0.01,,0.05
1445920,0.05,,0.1
1445915,0.01,,0.05
1445912,0.005,,0.015
1445909,0.001,,0.01
1445907,0.01,,0.05
1445901,0.001,,0.01
1445898,0.05,,0.1
1445894,0.05,,0.1
1445892,0.001,,0.01
1445887,0.05,,0.1
1445874,0.01,,0.05
1445870,0.01,,0.05
1445868,0.01,,0.05
1445866,0.01,,0.05
1445860,0.05,,0.1
1445854,0.05,,0.1
1445847,0.15,,0.2
1445840,0.001,,0.01
1445811,0.1,,0.15
1445809,0.01,,0.05
1445805,0.01,,0.05
1445801,0.05,,0.1
1445799,0.01,,0.05
1445797,0.01,,0.05
1445793,0.05,,0.1
1445784,0.1,,0.15
1445782,0.01,,0.05
1445777,0.001,,0.01
1445763,0.05,,0.1
1445757,0.05,,0.1
1445754,0.005,,0.015
1445750,0.01,,0.05
1445748,0.005,,0.015
1445736,0.001,,0.01
1445724,0.05,,0.1
1445720,0.01,,0.05
1445710,0.15,,0.4
1445704,0.001,,0.01
1445702,0.001,,0.01
1445698,0.05,,0.1
1445694,0.05,,0.1
1445690,0.01,,0.05
1445686,0.01,,0.05
1445683,0.01,,0.05
1445681,0.001,,0.01
1445676,0.001,,0.01
1445669,0.05,,0.1
1445666,0.01,,0.05
1445654,0.001,,0.01
1445651,0.05,,0.1
1445648,0.01,,0.05
1445640,0.01,,0.05
1445637,0.05,,0.1
1445634,0.005,,0.015
1445632,0.05,,0.1
1445630,0.005,,0.015
1445628,0.01,,0.05
1445624,0.1,,0.25
1445622,0.05,,0.1
1445611,0.05,,0.1
1445604,0.3,,0.35
1445598,0.01,,0.05
1445593,0.05,,0.1
1445580,0.25,,0.3
1445568,0.05,,0.1
1445563,0.01,,0.05
1445558,0.2,,0.25
1445554,0.01,,0.05
1445551,0.001,,0.01
1445549,0.001,,0.01
1445547,0.005,,0.015
1445543,0.25,,0.3
1445540,0.01,,0.05
1445534,0.05,,0.1
1445530,0.001,,0.01
1445528,0.05,,0.1
1445517,0.05,,0.1
1445513,0.01,,0.05
1445507,0.01,,0.05
1445505,0.001,,0.01
1445502,0.01,,0.05
1445499,0.01,,0.05
1445496,0.05,,0.1
1445489,0.05,,0.1
1445486,0.005,,0.015
1445481,0.05,,0.1
1445479,0.05,,0.1
1445477,0.001,,0.01
1445475,0.001,,0.01
1445472,0.01,,0.05
1445469,0.05,,0.1
1445466,0.01,,0.05
1445464,0.001,,0.01
1445462,0.01,,0.05
1445458,0.005,,0.015
1445451,0.01,,0.05
1445440,0.1,,0.15
1445437,0.001,,0.01
1445435,0.05,,0.1
1445428,0.1,,0.15
1445426,0.001,,0.01
1445412,0.005,,0.015
1445410,0.005,,0.015
1445405,0.01,,0.05
1445398,0.01,,0.05
1445394,0.05,,0.1
1445385,0.005,,0.015
1445382,0.05,,0.1
1445372,0.15,,0.2
1445369,0.001,,0.01
1445359,0.1,,0.15
1445357,0.001,,0.01
1445355,0.01,,0.05
1445345,0.15,,0.2
1445341,0.05,,0.1
1445334,0.01,,0.05
1445329,0.01,,0.05
1445327,0.005,,0.015
1445323,0.001,,0.01
1445317,0.01,,0.05
1445311,0.01,,0.05
1445306,0.05,,0.1
1445304,0.05,,0.1
1445296,0.05,,0.1
1445293,0.05,,0.1
1445290,0.05,,0.1
1445284,0.01,,0.05
1445281,0.005,,0.015
1445278,0.01,,0.05
1445275,0.05,,0.1
1445270,0.01,,0.05
1445263,0.05,,0.1
1445256,0.01,,0.05
1445251,0.05,,0.1
1445245,0.005,,0.015
1445242,0.01,,0.05
1445236,0.05,,0.1
1445232,0.01,,0.05
1445230,0.001,,0.01
1445220,0.1,,0.15
1445214,0.01,,0.05
1445205,0.05,,0.1
1445199,0.01,,0.05
1445196,0.01,,0.05
1445188,0.05,,0.1
1445182,0.01,,0.05
1445178,0.01,,0.05
1445175,0.05,,0.1
1445156,0.05,,0.1
1445150,0.001,,0.01
1445145,0.01,,0.05
1445142,0.01,,0.05
1445140,0.05,,0.1
1445133,0.05,,0.1
1445120,0.05,,0.1
1445102,0.05,,0.1
1445097,0.1,,0.15
1445095,0.01,,0.05
1445091,0.001,,0.01
1445089,0.2,,0.25
1445079,0.01,,0.05
1445077,0.01,,0.05
1445072,0.001,,0.01
1445063,0.05,,0.1
1445061,0.001,,0.01
1445055,0.05,,0.1
1445051,0.01,,0.05
1445034,0.05,,0.1
1445025,0.05,,0.1
1445017,0.05,,0.1
1445012,0.05,,0.1
1445009,0.005,,0.015
1445007,0.001,,0.01
1445004,0.01,,0.05
1444995,0.005,,0.015
1444987,0.05,,0.1
1444979,0.05,,0.1
1444976,0.01,,0.05
1444974,0.01,,0.05
1444969,0.05,,0.1
1444967,0.005,,0.015
1444963,0.01,,0.05
1444958,0.001,,0.01
1444951,0.05,,0.1
1444947,0.05,,0.1
1444944,0.05,,0.1
1444933,0.05,,0.1
1444931,0.01,,0.05
1444922,0.01,,0.05
1444914,0.05,,0.1
1444908,0.15,,0.2
1444905,0.05,,0.1
1444903,0.01,,0.05
1444901,0.05,,0.1
1444898,0.01,,0.05
1444889,0.01,,0.05
1444885,0.01,,0.05
1444879,0.01,,0.05
1444872,0.05,,0.1
1444869,0.05,,0.1
1444853,0.01,,0.05
1444850,0.05,,0.1
1444848,0.001,,0.01
1444839,0.05,,0.1
1444837,0.01,,0.05
1444835,0.001,,0.01
1444826,0.05,,0.1
1444821,0.01,,0.05
1444809,0.05,,0.1
1444803,0.01,,0.05
1444801,0.001,,0.01
1444785,0.1,,0.15
1444783,0.01,,0.05
1444778,0.05,,0.1
1444767,0.05,,0.1
1444765,0.01,,0.05
1444754,0.05,,0.1
1444752,0.01,,0.05
1444745,0.01,,0.05
1444737,0.05,,0.1
1444734,0.05,,0.1
1444729,0.05,,0.1
1444726,0.01,,0.05
1444723,0.05,,0.1
1444721,0.05,,0.1
1444712,0.05,,0.1
1444707,0.05,,0.1
1444705,0.001,,0.01
1444699,0.05,,0.1
1444697,0.001,,0.01
1444688,0.05,,0.1
1444684,0.01,,0.05
1444679,0.1,,0.15
1444666,0.05,,0.1
1444653,0.005,,0.015
1444648,0.05,,0.1
1444641,0.15,,0.2
1444638,0.001,,0.01
1444636,0.1,,0.15
1444619,0.05,,0.1
1444616,0.1,,0.15
1444603,0.05,,0.1
1444597,0.05,,0.1
1444584,0.1,,0.15
1444581,0.1,,0.15
1444578,0.01,,0.05
1444570,0.05,,0.1
1444567,0.05,,0.1
1444565,0.01,,0.05
1444555,0.01,,0.05
1444549,0.005,,0.015
1444547,0.01,,0.05
1444539,0.05,,0.1
1444531,0.01,,0.05
1444527,0.01,,0.05
1444525,0.001,,0.01
1444522,0.05,,0.1
1444515,0.1,,0.15
1444511,0.05,,0.1
1444508,0.001,,0.01
1444481,0.15,,0.2
1444479,0.05,,0.1
1444477,0.001,,0.01
1444474,0.001,,0.01
1444470,0.2,,0.25
1444460,0.001,,0.01
1444455,0.15,,0.2
1444448,0.15,,0.2
1444444,0.001,,0.01
1444442,0.05,,0.1
1444440,0.001,,0.01
1444433,0.01,,0.05
1444427,0.1,,0.15
1444424,0.01,,0.05
1444420,0.01,,0.05
1444414,0.005,,0.015
1444411,0.05,,0.1
1444407,0.05,,0.1
1444402,0.05,,0.1
1444400,0.005,,0.015
1444391,0.05,,0.1
1444388,0.01,,0.05
1444382,0.01,,0.05
1444380,0.01,,0.05
1444378,0.005,,0.015
1444375,0.001,,0.01
1444369,0.1,,0.15
1444350,0.05,,0.1
1444348,0.001,,0.01
1444345,0.05,,0.1
1444340,0.05,,0.1
1444323,0.01,,0.05
1444319,0.005,,0.015
1444314,0.05,,0.1
1444307,0.001,,0.01
1444298,0.05,,0.1
1444295,0.01,,0.05
1444289,0.05,,0.1
1444284,0.01,,0.05
1444277,0.01,,0.05
1444274,0.01,,0.05
1444262,0.001,,0.01
1444259,0.005,,0.015
1444254,0.001,,0.01
1444252,0.05,,0.1
1444250,0.01,,0.05
1444248,0.01,,0.05
1444245,0.05,,0.1
1444237,0.005,,0.015
1444235,0.001,,0.01
1444232,0.05,,0.1
1444226,0.05,,0.1
1444220,0.05,,0.1
1444217,0.01,,0.05
1444200,0.15,,0.2
1444194,0.05,,0.1
1444184,0.0,,0.05
1444179,0.05,,0.1
1444169,0.01,,0.05
1444167,0.001,,0.01
1444165,0.01,,0.05
1444159,0.01,,0.05
1444157,0.01,,0.05
1444143,0.05,,0.1
1444140,0.001,,0.01
1444134,0.05,,0.1
1444131,0.005,,0.015
1444129,0.01,,0.05
1444122,0.05,,0.1
1444116,0.01,,0.05
1444112,0.1,,0.15
1444103,0.01,,0.05
1444094,0.01,,0.05
1444087,0.1,,0.15
1444081,0.05,,0.1
1444079,0.005,,0.015
1444076,0.005,,0.015
1444070,0.01,,0.05
1444062,0.001,,0.01
1444057,0.05,,0.1
1444044,0.001,,0.01
1444025,0.05,,0.1
1444023,0.05,,0.1
1444017,0.01,,0.05
1444011,0.01,,0.05
1444009,0.05,,0.1
1444006,0.01,,0.05
1443995,0.001,,0.01
1443971,0.1,,0.15
1443966,0.05,,0.1
1443960,0.01,,0.05
1443956,0.01,,0.05
1443952,0.01,,0.05
1443950,0.05,,0.1
1443945,0.01,,0.05
1443943,0.01,,0.05
1443941,0.01,,0.05
1443933,0.01,,0.05
1443920,0.001,,0.01
1443918,0.05,,0.1
1443915,0.001,,0.01
1443912,0.05,,0.1
1443910,0.001,,0.01
1443903,0.15,,0.2
1443901,0.01,,0.05
1443897,0.01,,0.05
1443889,0.15,,0.2
1443887,0.005,,0.015
1443884,0.05,,0.1
1443882,0.01,,0.05
1443878,0.01,,0.05
1443861,0.05,,0.1
1443859,0.01,,0.05
1443857,0.005,,0.015
1443850,0.01,,0.05
1443848,0.01,,0.05
1443845,0.001,,0.01
1443842,0.05,,0.1
1443836,0.001,,0.01
1443834,0.001,,0.01
1443827,0.01,,0.05
1443825,0.005,,0.015
1443817,0.05,,0.1
1443814,0.001,,0.01
1443807,0.05,,0.1
1443799,0.001,,0.01
1443796,0.01,,0.05
1443792,0.05,,0.1
1443786,0.001,,0.01
1443781,0.05,,0.1
1443779,0.01,,0.05
1443770,0.001,,0.01
1443768,0.01,,0.05
1443764,0.05,,0.1
1443761,0.005,,0.015
1443759,0.001,,0.01
1443755,0.01,,0.05
1443751,0.01,,0.05
1443746,0.01,,0.05
1443737,0.005,,0.015
1443731,0.01,,0.05
1443729,0.01,,0.05
1443717,0.05,,0.1
1443715,0.01,,0.05
1443710,0.01,,0.05
1443706,0.01,,0.05
1443698,0.2,,0.25
1443692,0.01,,0.05
1443681,0.15,,0.2
1443679,0.001,,0.01
1443676,0.05,,0.1
1443673,0.05,,0.1
1443670,0.05,,0.1
1443666,0.01,,0.05
1443663,0.01,,0.05
1443658,0.1,,0.15
1443655,0.05,,0.1
1443652,0.01,,0.05
1443648,0.01,,0.05
1443646,0.05,,0.1
1443638,0.01,,0.05
1443635,0.01,,0.05
1443632,0.01,,0.05
1443628,0.05,,0.1
1443625,0.01,,0.05
1443622,0.001,,0.01
1443620,0.01,,0.05
1443618,0.01,,0.05
1443615,0.01,,0.05
1443610,0.0,,0.14
1443603,0.05,,0.1
1443601,0.05,,0.1
1443599,0.05,,0.1
1443592,0.01,,0.05
1443589,0.05,,0.1
1443586,0.005,,0.015
1443573,0.05,,0.1
1443569,0.01,,0.05
1443565,0.01,,0.05
1443561,0.05,,0.1
1443559,0.01,,0.05
1443557,0.001,,0.01
1443555,0.001,,0.01
1443552,0.01,,0.05
1443532,0.1,,0.15
1443530,0.05,,0.1
1443526,0.01,,0.05
1443520,0.01,,0.05
1443516,0.01,,0.05
1443510,0.001,,0.01
1443507,0.05,,0.1
1443493,0.01,,0.05
1443486,0.01,,0.05
1443480,0.1,,0.15
1443474,0.001,,0.01
1443468,0.2,,0.25
1443456,0.05,,0.1
1443454,0.01,,0.05
1443452,0.01,,0.05
1443434,0.1,,0.15
1443432,0.01,,0.05
1443428,0.1,,0.15
1443420,0.01,,0.05
1443417,0.01,,0.05
1443405,0.05,,0.1
1443398,0.01,,0.05
1443395,0.001,,0.01
1443389,0.001,,0.01
1443386,0.01,,0.05
1443381,0.01,,0.05
1443377,0.01,,0.05
1443375,0.05,,0.1
1443357,0.1,,0.15
1443352,0.005,,0.015
1443349,0.05,,0.1
1443344,0.01,,0.05
1443340,0.01,,0.05
1443335,0.001,,0.01
1443333,0.01,,0.05
1443331,0.01,,0.05
1443324,0.001,,0.01
1443315,0.005,,0.015
1443311,0.01,,0.05
1443308,0.01,,0.05
1443287,0.05,,0.1
1443283,0.05,,0.1
1443281,0.001,,0.01
1443268,0.01,,0.05
1443263,0.01,,0.05
1443254,0.1,,0.15
1443251,0.05,,0.1
1443249,0.001,,0.01
1443243,0.01,,0.05
1443233,0.005,,0.015
1443222,0.15,,0.2
1443214,0.01,,0.05
1443210,0.01,,0.05
1443203,0.001,,0.01
1443201,0.001,,0.01
1443196,0.05,,0.1
1443192,0.01,,0.05
1443189,0.01,,0.05
1443186,0.01,,0.05
1443184,0.01,,0.05
1443179,0.01,,0.05
1443176,0.005,,0.015
1443171,0.01,,0.05
1443169,0.1,,0.15
1443167,0.01,,0.05
1443162,0.01,,0.05
1443157,0.01,,0.05
1443151,0.005,,0.015
1443142,0.01,,0.05
1443138,0.05,,0.1
1443134,0.05,,0.1
1443132,0.05,,0.1
1443127,0.01,,0.05
1443117,0.1,,0.15
1443115,0.01,,0.05
1443110,0.001,,0.01
1443108,0.01,,0.05
1443106,0.001,,0.01
1443104,0.01,,0.05
1443097,0.05,,0.1
1443091,0.005,,0.015
1443088,0.01,,0.05
1443085,0.05,,0.1
1443081,0.01,,0.05
1443064,0.05,,0.1
1443061,0.01,,0.05
1443057,0.005,,0.015
1443054,0.01,,0.05
1443048,0.01,,0.05
1443039,0.005,,0.015
1443035,0.01,,0.05
1443029,0.05,,0.1
1443023,0.001,,0.01
1443021,0.01,,0.05
1443016,0.01,,0.05
1443013,0.01,,0.05
1443007,0.001,,0.01
1443004,0.05,,0.1
1442984,0.05,,0.1
1442980,0.01,,0.05
1442978,0.01,,0.05
1442971,0.05,,0.1
1442969,0.01,,0.05
1442967,0.01,,0.05
1442961,0.001,,0.01
1442959,0.01,,0.05
1442952,0.01,,0.05
1442946,0.001,,0.01
1442941,0.01,,0.05
1442924,0.05,,0.1
1442912,0.05,,0.1
1442909,0.001,,0.01
1442902,0.01,,0.05
1442895,0.001,,0.01
1442892,0.01,,0.05
1442864,0.05,,0.1
1442861,0.05,,0.1
1442858,0.01,,0.05
1442856,0.01,,0.05
1442852,0.1,,0.15
1442850,0.01,,0.05
1442837,0.005,,0.015
1442829,0.005,,0.015
1442818,0.15,,0.2
1442809,0.15,,0.2
1442807,0.001,,0.01
1442804,0.05,,0.1
1442799,0.005,,0.015
1442797,0.01,,0.05
1442792,0.05,,0.1
1442785,0.15,,0.2
1442778,0.01,,0.05
1442770,0.01,,0.05
1442766,0.005,,0.015
1442752,0.001,,0.01
1442747,0.01,,0.05
1442742,0.001,,0.01
1442738,0.01,,0.05
1442725,0.01,,0.05
1442723,0.05,,0.1
1442710,0.05,,0.1
1442706,0.1,,0.15
1442699,0.1,,0.15
1442691,0.1,,0.15
1442686,0.15,,0.2
1442682,0.01,,0.05
1442677,0.05,,0.1
1442674,0.05,,0.1
1442671,0.01,,0.05
1442666,0.01,,0.05
1442655,0.01,,0.05
1442649,0.001,,0.01
1442640,0.01,,0.05
1442637,0.05,,0.1
1442634,0.05,,0.1
1442627,0.1,,0.15
1442622,0.1,,0.15
1442619,0.01,,0.05
1442615,0.01,,0.05
1442611,0.05,,0.1
1442605,0.01,,0.05
1442599,0.05,,0.1
1442596,0.001,,0.01
1442592,0.01,,0.05
1442577,0.01,,0.05
1442570,0.05,,0.1
1442567,0.01,,0.05
1442546,0.1,,0.15
1442544,0.001,,0.01
1442542,0.001,,0.01
1442539,0.01,,0.05
1442531,0.01,,0.05
1442519,0.05,,0.1
1442516,0.01,,0.05
1442512,0.01,,0.05
1442494,0.1,,0.15
1442489,0.01,,0.05
1442486,0.01,,0.05
1442483,0.01,,0.05
1442478,0.05,,0.1
1442473,0.01,,0.05
1442467,0.1,,0.15
1442455,0.01,,0.05
1442447,0.001,,0.01
1442442,0.01,,0.05
1442430,0.05,,0.1
1442424,0.1,,0.15
1442413,0.05,,0.1
1442403,0.2,,0.25
1442397,0.25,,0.3
1442375,0.05,,0.1
1442370,0.1,,0.15
1442358,0.05,,0.1
1442347,0.01,,0.05
1442338,0.01,,0.05
1442333,0.1,,0.15
1442322,0.05,,0.1
1442305,0.1,,0.15
1442298,0.01,,0.05
1442295,0.01,,0.05
1442293,0.01,,0.05
1442287,0.1,,0.15
1442276,0.1,,0.15
1442267,0.1,,0.15
1442265,0.01,,0.05
1442260,0.01,,0.05
1442253,0.01,,0.05
1442250,0.001,,0.01
1442242,0.1,,0.15
1442240,0.05,,0.1
1442238,0.05,,0.1
1442229,0.05,,0.1
1442209,0.05,,0.1
1442201,0.01,,0.05
1442196,0.01,,0.05
1442190,0.15,,0.2
1442187,0.05,,0.1
1442175,0.05,,0.1
1442169,0.05,,0.1
1442150,0.05,,0.1
1442143,0.01,,0.05
1442137,0.01,,0.05
1442135,0.01,,0.05
1442132,0.005,,0.015
1442125,0.1,,0.15
1442121,0.1,,0.15
1442109,0.05,,0.1
1442107,0.001,,0.01
1442103,0.01,,0.05
1457828,0.05,,0.1
1442097,0.001,,0.01
1442085,0.05,,0.1
1442079,0.01,,0.05
1442074,0.05,,0.1
1442064,0.01,,0.05
1442053,0.05,,0.1
1442045,0.1,,0.15
1442039,0.1,,0.15
1442037,0.01,,0.05
1442013,0.15,,0.2
1442008,0.01,,0.05
1441996,0.05,,0.1
1441991,0.005,,0.015
1441986,0.01,,0.05
1441982,0.001,,0.01
1441977,0.01,,0.05
1441975,0.001,,0.01
1441972,0.01,,0.05
1441970,0.01,,0.05
1441966,0.01,,0.05
1441954,0.01,,0.05
1441952,0.01,,0.05
1441950,0.05,,0.1
1441947,0.001,,0.01
1441941,0.1,,0.15
1441936,0.05,,0.1
1441906,0.05,,0.1
1441901,0.01,,0.05
1441897,0.1,,0.15
1441894,0.001,,0.01
1441889,0.01,,0.05
1441887,0.01,,0.05
1441878,0.1,,0.15
1441876,0.001,,0.01
1441870,0.005,,0.015
1441868,0.01,,0.05
1441864,0.1,,0.15
1441860,0.01,,0.05
1441857,0.001,,0.01
1441850,0.1,,0.15
1441826,0.1,,0.15
1441824,0.001,,0.01
1441818,0.1,,0.15
1441812,0.1,,0.15
1441807,0.01,,0.05
1441804,0.001,,0.01
1441801,0.05,,0.1
1441783,0.1,,0.15
1441777,0.1,,0.15
1441771,0.2,,0.25
1441761,0.01,,0.05
1441757,0.05,,0.1
1441754,0.05,,0.1
1441749,0.001,,0.01
1441730,0.05,,0.1
1441727,0.1,,0.15
1441718,0.001,,0.01
1441716,0.001,,0.01
1441712,0.05,,0.1
1441707,0.15,,0.2
1441692,0.005,,0.015
1441690,0.001,,0.01
1441684,0.005,,0.015
1441681,0.01,,0.05
1441679,0.05,,0.1
1441675,0.15,,0.2
1441669,0.01,,0.05
1441666,0.01,,0.05
1441654,0.001,,0.01
1441645,0.2,,0.25
